AM,ق.ظ.
Large,بزرگ
Latest Qualification Scan,اسکن آخرین مدرک تحصیلی
Latitude,عرض جغرافیایی
Leave Approver,تأییدکننده مرخصی
Legal Form,نوع شخصیت حقوقی
Log out,خروج
Longitude,طول جغرافیایی
Loyalty Program,برنامه وفاداری
MICR Code,کد MICR
Male,مرد
Material Type,نوع ماده / پسماند
Medical Council No,شماره نظام پزشکی
Medical Packaging Row,ردیف بسته‌بندی پزشکی
Medium,متوسط
Missing:,فیلدهای ناقص:
Mon,دوشنبه
Municipality,شهرداری
My Profile,پروفایل من
My Settings,تنظیمات من
National Code,کد ملی
National Card Scan,اسکن کارت ملی
National Code is invalid. Please check the 10-digit number.,کد ملی نامعتبر است. لطفاً شماره ۱۰ رقمی را بررسی کنید.
National ID Scan is required.,اسکن کارت ملی الزامی است.
National ID files must be Private.,فایل‌های کارت ملی باید خصوصی باشند.
Notes,توضیحات
Office,دفتر
Office extra fields,فیلدهای اضافی دفتر
"Only PDF, JPG, JPEG, or PNG is allowed for National ID Scan.","برای اسکن کارت ملی فقط فایل‌های PDF، JPG، JPEG یا PNG مجاز هستند."
Other,سایر
PAN Number,شماره PAN
Pack Type,نوع بسته‌بندی
Packaging pattern,الگوی بسته‌بندی
Payroll Cost Center,مرکز هزینه حقوق و دستمزد
Payroll Enabled,فعال‌سازی حقوق و دستمزد
Payroll Enabled On,تاریخ فعال‌سازی حقوق و دستمزد
Payroll Missing Fields,فیلدهای ناقص حقوق و دستمزد
Per-Visit,به‌ازای هر مراجعه
Pharma,داروسازی
Planned,برنامه‌ریزی‌شده
Pricing density policy,سیاست قیمت‌گذاری بر اساس چگالی
Provident Fund Account,حساب صندوق بازنشستگی
Reload,بارگذاری مجدد
Report an Issue,گزارش مشکل
Required Skills,مهارت‌های مورد نیاز
Salutation,عنوان خطاب
SLA Contract,قرارداد SLA
Sampling Monthly,نمونه‌برداری ماهانه
Sat,شنبه
Scale Mandatory,وزن‌کشی الزامی
Segment,بخش
Service Window,بازه زمانی خدمت‌رسانی
Service Window(s),بازه(های) زمانی خدمت‌رسانی
Session Defaults,پیش‌فرض‌های نشست کاری
Shaba No,شماره شبا
Sharps,پسماند تیز و برنده
Shenasnameh Full,اسکن کامل شناسنامه
Shift Request Approver,تأییدکننده درخواست شیفت
Signed Contract,قرارداد امضا شده
Site HSE Contact,مسئول HSE سایت
Site HSE Mobile,شماره موبایل مسئول HSE سایت
Site UUID,شناسه یکتای سایت
Sites,سایت‌ها
Sites count,تعداد سایت‌ها
Skills,مهارت‌ها
Small,کوچک
Special,ویژه
Special requirements,نیازمندی‌های ویژه
Specialty Group,گروه تخصص
Status,وضعیت
Sun,یکشنبه
Suspended,معلق
System Manager,مدیر سیستم
Tax ID,شناسه مالیاتی
Third Party Scale,باسکول شخص ثالث
Third party,شخص ثالث
Third-party scale,باسکول شخص ثالث
This exact file is already attached to another Employee.,این فایل دقیقاً قبلاً به کارمند دیگری پیوست شده است.
Thu,پنجشنبه
Tier,رده / سطح
Tiered,چندسطحی
Toggle Full Width,تغییر به حالت تمام‌عرض
Toggle Theme,تغییر پوسته
Trace Path,مسیر رهگیری
Trace policy,سیاست رهگیری
Tue,سه‌شنبه
Upload the National ID to the field (don’t paste a URL).,کارت ملی را در همین فیلد بارگذاری کنید (لطفاً نشانی اینترنتی وارد نکنید).
User Forum,انجمن کاربران
Veterinary,دامپزشکی
View Website,مشاهده وب‌سایت
Visits × BinVolume × RefDensity,تعداد مراجعات × حجم مخزن × چگالی مرجع
Waste Class,کلاس پسماند
Waste Pattern,الگوی پسماند
Wed,چهارشنبه
Weigh Ticket Required,ارائه رسید توزین الزامی است
basic info,اطلاعات پایه
company_province,استان شرکت
employee_no,شماره کارمند
foundation,فاندیشن
from time,از ساعت
notes,یادداشت‌ها
org_track,مسیر سازمانی
org_track اجباری است (Administrative یا Field).,org_track اجباری است (Administrative یا Field).
org_track فقط می‌تواند Administrative یا Field باشد.,org_track فقط می‌تواند Administrative یا Field باشد.
pack_type,نوع بسته‌بندی
shift,شیفت
to time,تا ساعت
weekday,روز هفته
Recruitment, استخدام
Ceiling Period,دوره سقف
Contract Number,شماره قرارداد
Date of contract,تاریخ قرارداد
Designation is mandatory.,عنوان شغلی الزامی است.
Excess Rate Per KG,نرخ مازاد به‌ازای هر کیلوگرم
Financial terms,شرایط مالی
Jalali Contract End Date,تاریخ پایان قرارداد (جلالی)
Monthly Amount,مبلغ ماهانه
Payment Model,مدل پرداخت
SS Code,کد SS
Signed Contract File,فایل قرارداد امضا شده
Territory SS Code,کد SS محدوده
Third party,شخص ثالث
Action not allowed.,اقدام مجاز نیست.
Company is missing on the document.,شرکت در سند مشخص نشده است.
Company is required for CEO. Please choose a company.,برای مدیرعامل انتخاب شرکت الزامی است. لطفاً یک شرکت انتخاب کنید.
"Error: {0}","خطا: {0}"
Managing Director,مدیرعامل
Not allowed in workflow state: {0},در وضعیت گردش‌کار {0} مجاز نیست.
Not allowed to change company.,تغییر شرکت مجاز نیست.
Not allowed to generate letters.,ایجاد نامه مجاز نیست.
Only allowed for Draft documents.,فقط برای اسناد در حالت پیش‌نویس مجاز است.
Only employees can create letters (no Employee linked to this user).,فقط کارکنان مجاز به ایجاد نامه هستند (هیچ کارمندی به این کاربر متصل نیست).
Pending CEO Approval,در انتظار تأیید مدیرعامل
Pending MD Approval,در انتظار تأیید مدیرعامل
Prompt is required for letter type: {0},برای نوع نامه {0} وارد کردن متن راهنما الزامی است.
Reference Date djalali,تاریخ مرجع (جلالی)
Reference Letter,نامه مرجع
You are not allowed to create letters.,شما مجاز به ایجاد نامه نیستید.
Client Request Id,شناسه درخواست مشتری
Field Service Log,گزارش عملیات میدانی
Final,نهایی
Finance,مالی
GPS Lat,عرض جغرافیایی (GPS)
GPS Lng,طول جغرافیایی (GPS)
Invalid Driver Canonical ID,شناسه یکتای راننده نامعتبر است
Limited Admin,مدیر محدود
Ops Manager,مدیر عملیات
Photo,تصویر
Qr Token,توکن QR
Qty/Weight,تعداد / وزن
Site,سایت
Transport,حمل‌ونقل
Trip Date,تاریخ سفر
Trip Id,شناسه سفر
Employee Lifecycle,چرخه عمر کارمند
Performance,عملکرد
Shift & Attendance,شیفت و حضور و غیاب
Financial Reports,گزارش‌های مالی
Salary Payout,پرداخت حقوق
Tax & Benefits,مالیات و مزایا
Unit of Measure,واحد اندازه‌گیری
Mobile, موبایل
Natural, حقیقی
